Day,Level,Hue
Day1,1,44.10179653
Day1,1,44.48932566
Day1,1,44.4275461
Day1,1,45.89325579
Day1,1,45.90965764
Day1,1,44.35513307
Day1,1,45.04421942
Day1,1,48.60982412
Day1,1,43.89348583
Day1,1,44.56855751
Day1,1,44.43744574
Day1,1,44.05981243
Day1,1,40.77905542
Day1,1,43.55114201
Day1,1,45.09910954
Day1,1,41.33703462
Day1,1,44.65966797
Day1,1,46.45256477
Day1,1,45.27979873
Day1,1,45.54533911
Day1,1,48.26105746
Day1,1,45.36803705
Day1,1,46.69011008
Day1,1,42.18902153
Day1,1,45.31441525
Day1,1,41.25940353
Day1,1,47.86188243
Day1,1,46.36675926
Day1,1,45.22152176
Day1,1,42.09971584
Day1,1,46.88350088
Day1,1,45.48590814
Day1,1,41.47867617
Day1,1,45.24329762
Day1,1,42.26553559
Day1,1,46.40548904
Day1,1,45.37383229
Day1,1,44.0456917
Day1,1,45.52059085
Day1,1,46.04854148
Day1,1,46.98281836
Day1,1,44.68796003
Day1,1,45.00510822
Day1,1,48.02282949
Day1,1,46.45491685
Day1,1,45.91291028
Day1,1,44.64990615
Day1,1,46.3402923
Day1,1,44.58351933
Day1,1,45.11892263
Day1,1,46.58028184
Day1,1,44.40079188
Day1,1,42.59009706
Day1,1,45.58087453
Day1,1,47.01101883
Day1,1,46.28672874
Day1,1,46.79677846
Day1,1,45.51702424
Day1,1,43.38681059
Day1,1,47.96635934
Day2,2,40.49758629
Day2,2,40.87642948
Day2,2,35.74697005
Day2,2,36.06459333
Day2,2,36.25555568
Day2,2,38.11971654
Day2,2,40.83889121
Day2,2,40.18742694
Day2,2,39.18420731
Day2,2,39.01425978
Day2,2,39.99375448
Day2,2,39.00252117
Day2,2,40.88592312
Day2,2,37.47621816
Day2,2,37.47490869
Day2,2,40.85655829
Day2,2,38.69390052
Day2,2,38.18888126
Day2,2,39.26907926
Day2,2,39.54860347
Day2,2,39.11966169
Day2,2,42.64321708
Day2,2,40.896228
Day2,2,41.88306525
Day2,2,36.72236877
Day2,2,37.48330682
Day2,2,30.77906439
Day2,2,38.00844855
Day2,2,34.48497975
Day2,2,40.59680334
Day2,2,37.92170213
Day2,2,37.18293868
Day2,2,39.58840772
Day2,2,44.14549869
Day2,2,37.28945915
Day2,2,44.6739358
Day2,2,38.84493005
Day2,2,31.81604593
Day2,2,37.55515587
Day2,2,37.56274196
Day2,2,39.93935472
Day2,2,41.88876428
Day2,2,38.20889556
Day2,2,36.44456447
Day2,2,40.38673659
Day2,2,41.21325845
Day2,2,39.10832562
Day2,2,41.64618371
Day2,2,41.2567015
Day2,2,36.71766766
Day2,2,39.48816147
Day2,2,38.89045323
Day2,2,39.88080903
Day2,2,37.05104478
Day2,2,40.97326396
Day2,2,39.96114149
Day2,2,40.6837122
Day2,2,38.95100191
Day2,2,41.57729454
Day2,2,42.85479207
Day3,3,34.75984715
Day3,3,31.11811216
Day3,3,36.90053763
Day3,3,36.77523999
Day3,3,34.25364443
Day3,3,30.90864269
Day3,3,34.72468102
Day3,3,36.24307626
Day3,3,30.61777097
Day3,3,35.7710652
Day3,3,34.52319996
Day3,3,33.07941973
Day3,3,34.61685675
Day3,3,35.77615163
Day3,3,33.3453502
Day3,3,35.43418973
Day3,3,36.9000564
Day3,3,35.22812117
Day3,3,30.34806591
Day3,3,31.36049105
